tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,jenis_kelamin,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,rasio_dpt_terhadap_penduduk_kelurahan,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,BELITUNG SELATAN,003,2024-BANJARMASIN BARAT-BELITUNG SELATAN-003-JML,JML,288,236,81.94,288,"14,779",1.95,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,004,2024-BANJARMASIN BARAT-BELITUNG SELATAN-004-JML,JML,218,165,75.69,218,"14,779",1.48,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,005,2024-BANJARMASIN BARAT-BELITUNG SELATAN-005-JML,JML,205,169,82.44,205,"14,779",1.39,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,006,2024-BANJARMASIN BARAT-BELITUNG SELATAN-006-JML,JML,253,209,82.61,253,"14,779",1.71,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,007,2024-BANJARMASIN BARAT-BELITUNG SELATAN-007-JML,JML,216,162,75.00,216,"14,779",1.46,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,008,2024-BANJARMASIN BARAT-BELITUNG SELATAN-008-JML,JML,276,239,86.59,276,"14,779",1.87,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,009,2024-BANJARMASIN BARAT-BELITUNG SELATAN-009-JML,JML,261,204,78.16,261,"14,779",1.77,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,010,2024-BANJARMASIN BARAT-BELITUNG SELATAN-010-JML,JML,193,177,91.71,193,"14,779",1.31,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,011,2024-BANJARMASIN BARAT-BELITUNG SELATAN-011-JML,JML,281,234,83.27,281,"14,779",1.90,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,012,2024-BANJARMASIN BARAT-BELITUNG SELATAN-012-JML,JML,197,153,77.66,197,"14,779",1.33,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,013,2024-BANJARMASIN BARAT-BELITUNG SELATAN-013-JML,JML,248,154,62.10,248,"14,779",1.68,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,014,2024-BANJARMASIN BARAT-BELITUNG SELATAN-014-JML,JML,258,214,82.95,258,"14,779",1.75,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,015,2024-BANJARMASIN BARAT-BELITUNG SELATAN-015-JML,JML,269,220,81.78,269,"14,779",1.82,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,016,2024-BANJARMASIN BARAT-BELITUNG SELATAN-016-JML,JML,160,150,93.75,160,"14,779",1.08,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,017,2024-BANJARMASIN BARAT-BELITUNG SELATAN-017-JML,JML,260,201,77.31,260,"14,779",1.76,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,018,2024-BANJARMASIN BARAT-BELITUNG SELATAN-018-JML,JML,188,149,79.26,188,"14,779",1.27,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,019,2024-BANJARMASIN BARAT-BELITUNG SELATAN-019-JML,JML,192,147,76.56,192,"14,779",1.30,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,020,2024-BANJARMASIN BARAT-BELITUNG SELATAN-020-JML,JML,238,189,79.41,238,"14,779",1.61,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,021,2024-BANJARMASIN BARAT-BELITUNG SELATAN-021-JML,JML,179,157,87.71,179,"14,779",1.21,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,022,2024-BANJARMASIN BARAT-BELITUNG SELATAN-022-JML,JML,282,230,81.56,282,"14,779",1.91,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,023,2024-BANJARMASIN BARAT-BELITUNG SELATAN-023-JML,JML,174,145,83.33,174,"14,779",1.18,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,024,2024-BANJARMASIN BARAT-BELITUNG SELATAN-024-JML,JML,183,145,79.23,183,"14,779",1.24,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,025,2024-BANJARMASIN BARAT-BELITUNG SELATAN-025-JML,JML,280,219,78.21,280,"14,779",1.89,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,026,2024-BANJARMASIN BARAT-BELITUNG SELATAN-026-JML,JML,248,181,72.98,248,"14,779",1.68,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,027,2024-BANJARMASIN BARAT-BELITUNG SELATAN-027-JML,JML,250,195,78.00,250,"14,779",1.69,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,028,2024-BANJARMASIN BARAT-BELITUNG SELATAN-028-JML,JML,236,174,73.73,236,"14,779",1.60,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,029,2024-BANJARMASIN BARAT-BELITUNG SELATAN-029-JML,JML,154,122,79.22,154,"14,779",1.04,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,030,2024-BANJARMASIN BARAT-BELITUNG SELATAN-030-JML,JML,276,203,73.55,276,"14,779",1.87,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,031,2024-BANJARMASIN BARAT-BELITUNG SELATAN-031-JML,JML,142,133,93.66,142,"14,779",0.96,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,032,2024-BANJARMASIN BARAT-BELITUNG SELATAN-032-JML,JML,218,168,77.06,218,"14,779",1.48,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,033,2024-BANJARMASIN BARAT-BELITUNG SELATAN-033-JML,JML,236,193,81.78,236,"14,779",1.60,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,034,2024-BANJARMASIN BARAT-BELITUNG SELATAN-034-JML,JML,265,196,73.96,265,"14,779",1.79,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,035,2024-BANJARMASIN BARAT-BELITUNG SELATAN-035-JML,JML,225,184,81.78,225,"14,779",1.52,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,036,2024-BANJARMASIN BARAT-BELITUNG SELATAN-036-JML,JML,237,187,78.90,237,"14,779",1.60,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,037,2024-BANJARMASIN BARAT-BELITUNG SELATAN-037-JML,JML,165,138,83.64,165,"14,779",1.12,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,038,2024-BANJARMASIN BARAT-BELITUNG SELATAN-038-JML,JML,245,184,75.10,245,"14,779",1.66,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,039,2024-BANJARMASIN BARAT-BELITUNG SELATAN-039-JML,JML,286,205,71.68,286,"14,779",1.94,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,040,2024-BANJARMASIN BARAT-BELITUNG SELATAN-040-JML,JML,144,144,100.00,144,"14,779",0.97,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,041,2024-BANJARMASIN BARAT-BELITUNG SELATAN-041-JML,JML,208,185,88.94,208,"14,779",1.41,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,042,2024-BANJARMASIN BARAT-BELITUNG SELATAN-042-JML,JML,206,153,74.27,206,"14,779",1.39,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,043,2024-BANJARMASIN BARAT-BELITUNG SELATAN-043-JML,JML,244,199,81.56,244,"14,779",1.65,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,044,2024-BANJARMASIN BARAT-BELITUNG SELATAN-044-JML,JML,244,183,75.00,244,"14,779",1.65,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,045,2024-BANJARMASIN BARAT-BELITUNG SELATAN-045-JML,JML,164,164,100.00,164,"14,779",1.11,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,046,2024-BANJARMASIN BARAT-BELITUNG SELATAN-046-JML,JML,297,231,77.78,297,"14,779",2.01,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,047,2024-BANJARMASIN BARAT-BELITUNG SELATAN-047-JML,JML,197,200,101.52,197,"14,779",1.33,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,001,2024-BANJARMASIN BARAT-BELITUNG UTARA-001-JML,JML,218,219,100.46,218,"7,485",2.91,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,002,2024-BANJARMASIN BARAT-BELITUNG UTARA-002-JML,JML,203,167,82.27,203,"7,485",2.71,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,003,2024-BANJARMASIN BARAT-BELITUNG UTARA-003-JML,JML,241,205,85.06,241,"7,485",3.22,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,004,2024-BANJARMASIN BARAT-BELITUNG UTARA-004-JML,JML,266,196,73.68,266,"7,485",3.55,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,005,2024-BANJARMASIN BARAT-BELITUNG UTARA-005-JML,JML,270,209,77.41,270,"7,485",3.61,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,006,2024-BANJARMASIN BARAT-BELITUNG UTARA-006-JML,JML,159,107,67.30,159,"7,485",2.12,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,007,2024-BANJARMASIN BARAT-BELITUNG UTARA-007-JML,JML,164,121,73.78,164,"7,485",2.19,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,008,2024-BANJARMASIN BARAT-BELITUNG UTARA-008-JML,JML,252,192,76.19,252,"7,485",3.37,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,009,2024-BANJARMASIN BARAT-BELITUNG UTARA-009-JML,JML,205,167,81.46,205,"7,485",2.74,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,010,2024-BANJARMASIN BARAT-BELITUNG UTARA-010-JML,JML,281,214,76.16,281,"7,485",3.75,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,011,2024-BANJARMASIN BARAT-BELITUNG UTARA-011-JML,JML,189,189,100.00,189,"7,485",2.53,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,012,2024-BANJARMASIN BARAT-BELITUNG UTARA-012-JML,JML,249,224,89.96,249,"7,485",3.33,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,013,2024-BANJARMASIN BARAT-BELITUNG UTARA-013-JML,JML,261,216,82.76,261,"7,485",3.49,13.61,29.77,32.22
