tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,penduduk_total_kecamatan,rasio_dpt_terhadap_penduduk_kelurahan,pendapatan_per_kapita,tingkat_pengangguran,kepadatan_penduduk,ipm,jumlah_usia_17_24_kec,jumlah_usia_25_44_kec,jumlah_usia_45_plus_kec,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,PELAMBUAN,2,2024-BANJARMASIN BARAT-PELAMBUAN-002,186,137,73.66,186,25504,137895,0.73,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,3,2024-BANJARMASIN BARAT-PELAMBUAN-003,268,192,71.64,268,25504,137895,1.05,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,4,2024-BANJARMASIN BARAT-PELAMBUAN-004,275,261,94.91,275,25504,137895,1.08,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,5,2024-BANJARMASIN BARAT-PELAMBUAN-005,200,178,89,200,25504,137895,0.78,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,6,2024-BANJARMASIN BARAT-PELAMBUAN-006,198,182,91.92,198,25504,137895,0.78,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,7,2024-BANJARMASIN BARAT-PELAMBUAN-007,294,268,91.16,294,25504,137895,1.15,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,8,2024-BANJARMASIN BARAT-PELAMBUAN-008,298,260,87.25,298,25504,137895,1.17,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,9,2024-BANJARMASIN BARAT-PELAMBUAN-009,281,233,82.92,281,25504,137895,1.1,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,10,2024-BANJARMASIN BARAT-PELAMBUAN-010,273,235,86.08,273,25504,137895,1.07,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,11,2024-BANJARMASIN BARAT-PELAMBUAN-011,196,153,78.06,196,25504,137895,0.77,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,12,2024-BANJARMASIN BARAT-PELAMBUAN-012,200,141,70.5,200,25504,137895,0.78,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,13,2024-BANJARMASIN BARAT-PELAMBUAN-013,191,158,82.72,191,25504,137895,0.75,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,14,2024-BANJARMASIN BARAT-PELAMBUAN-014,203,153,75.37,203,25504,137895,0.8,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
